order_id,customer_id,customer_name,customer_type,region,order_date,delivery_date,sales,profit
ST2017-133315,陈艳_8137,陈艳,B,华北,9/15/2017 0:00,9/22/2017 0:00,197.7863642,45.71814515
ST2017-189796,陈秀英_2178,陈秀英,C,华东,12/5/2017 0:00,12/8/2017 0:00,964.1416963,499.5490065
ST2017-105713,臧建华_2023,臧建华,B,华北,1/13/2017 0:00,1/22/2017 0:00,98.66711644,15.14842332
ST2017-143070,李倩_7002,李倩,C,东北,9/15/2017 0:00,9/21/2017 0:00,1103.432275,459.3376805
ST2017-124110,徐小红_4667,徐小红,C,华南,5/31/2017 0:00,6/5/2017 0:00,4125.532575,1907.862689
ST2017-104626,郭秀芳_2274,郭秀芳,B,东北,1/10/2017 0:00,1/17/2017 0:00,1192.287513,257.6050764
ST2017-157053,唐杨_5931,唐杨,C,华中,5/20/2017 0:00,6/4/2017 0:00,212.8027822,97.16066257
ST2017-167639,张超_7797,张超,A,东北,5/17/2017 0:00,5/22/2017 0:00,63.02722311,5.459414426
ST2017-102094,萧凯_5562,萧凯,C,华北,7/24/2017 0:00,8/3/2017 0:00,3835.336651,2135.325997
ST2017-139483,刘博_9569,刘博,B,华中,5/23/2017 0:00,6/3/2017 0:00,225.0147601,57.29675627
ST2017-135787,傅想_4902,傅想,B,华北,7/20/2017 0:00,7/28/2017 0:00,474.327748,85.47484498
ST2017-116235,王秀云_1690,王秀云,B,东北,11/16/2017 0:00,11/23/2017 0:00,906.5625061,139.2035304
ST2017-122598,苑佳_4883,苑佳,B,华中,7/26/2017 0:00,8/4/2017 0:00,1024.355211,179.673845
ST2017-124025,萧凯_5562,萧凯,C,西南,6/6/2017 0:00,6/15/2017 0:00,23.45371286,10.5150931
ST2017-139281,刘勇_3637,刘勇,B,华南,9/5/2017 0:00,9/9/2017 0:00,4777.362006,1321.07496
ST2017-190511,李红_3011,李红,A,东北,5/5/2017 0:00,5/4/2017 0:00,7877.382757,619.7424249
ST2017-118007,林楠_2873,林楠,C,华中,10/9/2017 0:00,10/18/2017 0:00,2080.75175,887.3863551
ST2017-178942,官刚_5602,官刚,A,华北,6/14/2017 0:00,6/20/2017 0:00,4517.919195,443.2438461
ST2017-174610,佟静_1549,佟静,B,华南,3/13/2017 0:00,3/19/2017 0:00,4244.061306,1101.600063
ST2017-153047,杨玉梅_5884,杨玉梅,C,西南,9/27/2017 0:00,10/5/2017 0:00,274.7633018,154.2515349
ST2017-139497,何平_5515,何平,B,华中,7/10/2017 0:00,7/22/2017 0:00,3063.876421,792.9001109
ST2017-162178,王丹丹_5516,王丹丹,B,华中,6/7/2017 0:00,6/14/2017 0:00,673.9560842,201.8955107
ST2017-123935,张雪梅_6354,张雪梅,B,华中,9/6/2017 0:00,9/15/2017 0:00,3414.650371,659.2620856
ST2017-165663,陆帅_2580,陆帅,C,西南,9/19/2017 0:00,9/27/2017 0:00,50.54923051,29.20604159
ST2017-190218,唐岩_9098,唐岩,A,东北,7/7/2017 0:00,7/14/2017 0:00,1306.579357,79.22959791
ST2017-123709,牛博_2354,牛博,A,华中,5/1/2017 0:00,5/16/2017 0:00,725.4156661,52.84284514
ST2017-163423,陈桂芝_1990,陈桂芝,B,东北,4/16/2017 0:00,4/22/2017 0:00,227.7213963,51.71979216
ST2017-134296,罗慧_2241,罗慧,B,西南,9/5/2017 0:00,9/16/2017 0:00,249.6954647,71.00592681
ST2017-177787,熊淑华_2411,熊淑华,B,华南,8/9/2017 0:00,8/12/2017 0:00,485.9399897,84.06043654
ST2017-116177,丁雪梅_5851,丁雪梅,B,华中,7/28/2017 0:00,8/8/2017 0:00,116.5578875,32.27606293
ST2017-199583,张雪梅_6354,张雪梅,B,华南,12/10/2017 0:00,12/16/2017 0:00,273.2581181,77.44289929
ST2017-192065,张宁_4021,张宁,A,华中,9/19/2017 0:00,9/27/2017 0:00,149.3246796,12.45741407
ST2017-152557,刘秀荣_6482,刘秀荣,C,华中,5/4/2017 0:00,5/17/2017 0:00,561.5091595,268.2448036
ST2017-107905,蔡涛_9267,蔡涛,C,华北,12/28/2016 0:00,1/4/2017 0:00,1285.285202,613.93811
ST2017-161212,吴秀云_2686,吴秀云,C,华中,7/18/2017 0:00,7/28/2017 0:00,861.1862594,433.8138568
ST2017-100331,罗瑜_2764,罗瑜,C,东北,7/20/2017 0:00,7/27/2017 0:00,122.2485246,57.08927496
ST2017-163726,郭秀芳_2274,郭秀芳,B,华南,7/16/2017 0:00,7/21/2017 0:00,1313.815359,265.517967
ST2017-112840,孔秀兰_2954,孔秀兰,A,华中,3/18/2017 0:00,3/30/2017 0:00,610.8407136,58.01017659
ST2017-154423,朱畅_7288,朱畅,A,西南,9/23/2017 0:00,10/2/2017 0:00,17.37592472,1.049264635
ST2017-143879,马佳_3772,马佳,C,华北,5/31/2017 0:00,6/8/2017 0:00,736.7819396,377.2994795
ST2017-166209,李帅_5451,李帅,C,东北,10/26/2017 0:00,11/2/2017 0:00,205.5851778,117.8736648
ST2017-108925,潘建华_2516,潘建华,C,华南,6/25/2017 0:00,7/2/2017 0:00,1350.995391,635.4604118
ST2017-198766,张玉珍_6629,张玉珍,C,华中,12/14/2017 0:00,12/24/2017 0:00,2553.996119,1081.422463
ST2017-152644,孙琴_1396,孙琴,B,华北,11/9/2017 0:00,11/15/2017 0:00,3825.243667,1130.225264
ST2017-159982,余桂花_2467,余桂花,B,华北,9/11/2017 0:00,9/17/2017 0:00,4105.561207,853.1490729
ST2017-189999,侯婷婷_3454,侯婷婷,A,西南,10/11/2017 0:00,10/20/2017 0:00,1191.772523,89.37341571
ST2017-155289,陈娟_5653,陈娟,B,华东,5/8/2017 0:00,5/12/2017 0:00,1916.494602,356.7778614
ST2017-112399,萧建华_1637,萧建华,C,华北,7/29/2017 0:00,8/5/2017 0:00,3288.183394,1354.712955
ST2017-190714,陈兰英_8355,陈兰英,B,华东,8/2/2017 0:00,8/3/2017 0:00,1037.232197,195.348573
ST2020-189324,宗秀珍_3516,宗秀珍,A,华南,8/6/2017 0:00,8/13/2017 0:00,4334.40576,361.1160398
ST2017-189737,姚畅_2832,姚畅,B,华南,5/12/2017 0:00,5/18/2017 0:00,1196.362732,223.528827
ST2017-126816,谢杨_8341,谢杨,B,东北,7/20/2017 0:00,7/26/2017 0:00,966.43068,231.9837448
ST2017-149408,林荣_7771,林荣,C,华中,1/29/2017 0:00,2/8/2017 0:00,189.3461119,95.84267155
ST2017-192008,耿楠_3687,耿楠,C,华中,12/9/2017 0:00,12/21/2017 0:00,5923.77654,2457.503685
ST2017-124650,傅红梅_9257,傅红梅,A,华中,2/10/2017 0:00,2/17/2017 0:00,57.4567512,3.539687894
ST2017-131048,申兵_8275,申兵,B,华中,12/4/2017 0:00,12/12/2017 0:00,1491.977234,426.0879014
ST2017-133736,王丽_8278,王丽,B,华北,5/26/2017 0:00,6/2/2017 0:00,1508.923776,276.4922363
ST2017-155273,张冬梅_8640,张冬梅,B,华中,9/23/2017 0:00,10/7/2017 0:00,917.3734485,240.9192272
ST2017-164735,赵兵_8939,赵兵,C,东北,8/17/2017 0:00,8/23/2017 0:00,32.65410168,18.45938038
ST2017-180092,韩平_9193,韩平,A,华北,2/27/2017 0:00,3/7/2017 0:00,46.98666644,3.229638139
ST2017-114350,彭洋_9723,彭洋,C,华南,10/28/2017 0:00,11/2/2017 0:00,11210.41429,5695.555603
ST2017-138157,马帅_4998,马帅,C,华中,12/4/2017 0:00,12/15/2017 0:00,1575.405597,675.6285772
ST2017-189484,聂桂兰_1536,聂桂兰,C,华南,12/19/2017 0:00,12/26/2017 0:00,1093.201747,614.4964099
ST2017-190737,娄玉_3908,娄玉,C,东北,11/14/2017 0:00,11/21/2017 0:00,1151.817246,649.0953864
ST2017-131980,慕秀英_8740,慕秀英,C,华北,6/23/2017 0:00,7/1/2017 0:00,228.6620001,92.66832203
ST2017-138546,屈琳_4254,屈琳,C,华北,2/1/2017 0:00,2/7/2017 0:00,4023.987712,1940.827768
ST2017-164795,朱涛_9115,朱涛,B,东北,5/6/2017 0:00,5/11/2017 0:00,2033.308974,421.1313259
ST2017-179849,车瑞_8199,车瑞,C,东北,5/6/2017 0:00,5/13/2017 0:00,1802.916379,807.4675901
ST2017-179587,陈辉_7667,陈辉,B,华中,7/13/2017 0:00,7/20/2017 0:00,530.7978489,126.0176002
ST2017-131513,曾莉_7765,曾莉,A,华东,9/30/2017 0:00,10/3/2017 0:00,4277.614017,416.8200383
ST2017-183056,宋伟_3500,宋伟,B,华北,11/24/2017 0:00,12/2/2017 0:00,258.0995015,77.0094972
